id,text,label,confidence,signals,explanation,,,,,,,,,,,,,,,,,,,,,,,,,,
9182037,"Criminal law defines offenses and prescribes punishments to maintain social order. It distinguishes between felonies, misdemeanors, and infractions. Courts interpret statutes and ensure due process. Criminal law deters wrongdoing, protects victims, and upholds justice, though it must balance enforcement with human rights.", sea-level rise, and biodiversity loss. Mitigation requires reducing emissions, adopting renewable energy, and conservation. Adaptation strategies build resilience in vulnerable regions. Climate action combines science, policy," and global cooperation.""",AI,High,signalsCause-effect framing, neutral tone, structured reasoning,explanationThe balanced and fact-driven delivery is characteristic of AI writing.,,,,,,,,,,,,,,,,,,
7830192,"Contract law governs agreements between parties. Valid contracts require offer"", acceptance, consideration, and intention. Breach of contract leads to remedies like damages or specific performance. Contract law supports trust, commerce,"" and fairness in exchanges across societies", acceptance, consideration, and intention. Breach of contract leads to remedies like damages or specific performance. Contract law supports trust, commerce," and fairness in exchanges across societies.""",AI,High,signalsNeutral tone, structured phrasing, legal ,explanationThe systematic and simplified  suggests AI authorship.,,,,,,,,,,,,,,,,,,,
2093817,"intelligence transforms industries through automation, prediction, and personalization. Applications span healthcare, finance, education, and communication. Benefits include efficiency and innovation, but challenges involve ethics, bias, and employment. Responsible governance ensures AI development aligns with human values and social good.",AI,High,signalsExpository style, structured flow, forward-looking tone,explanationThe generalized, formal tone reflects AI writing.,,,,,,,,,,,,,,,,,,,,,,,
5810923,"Corporate social responsibility integrates ethical practices into business strategies. Companies adopt CSR to address environment, labor, and community concerns. Strong CSR enhances reputation, trust, and long-term performance. Superficial CSR risks being seen as greenwashing. Genuine responsibility creates shared value for business and society.", labor, and community concerns. Strong CSR enhances reputation, trust, and long-term performance. Superficial CSR risks being seen as greenwashing. Genuine responsibility creates shared value for business and society.,AI,High,signalsNeutral tone, explanatory phrasing, structured reasoning,explanationThe balanced, principle-based framing indicates AI authorship.,,,,,,,,,,,,,,,,,,,
7039181,"Human rights law protects dignity and freedoms globally. Instruments like the Universal Declaration of Human Rights set standards for equality, liberty, and justice. Enforcement relies on national systems and international bodies. Despite violations, human rights law guides accountability and supports advocacy for fairness.", liberty, and justice. Enforcement relies on national systems and international bodies. Despite violations, human rights law guides accountability and supports advocacy for fairness.,AI,High,signalsFormal tone, structured phrasing, moral framing,explanationThe universal, principle-based delivery reflects AI writing.,,,,,,,,,,,,,,,,,,,,
8291038,"Business cycles reflect fluctuations in economic activity over time. Phases include expansion, peak, contraction, and recovery. Indicators like GDP, employment, and investment track cycles. Policymakers respond with stimulus or austerity to stabilize growth. Understanding cycles guides businesses and governments in planning and resilience.", peak, contraction, and recovery. Indicators like GDP, employment, and investment track cycles. Policymakers respond with stimulus or austerity to stabilize growth. Understanding cycles guides businesses and governments in planning and resilience.,AI,High,signalsStructured delivery, neutral phrasing, explanatory scope,explanationThe factual and systematic  suggests AI authorship.,,,,,,,,,,,,,,,,,,,
5039189,"International relations analyze interactions between states, organizations, and non-state actors. Theories like realism, liberalism, and constructivism explain cooperation and conflict. Diplomacy, security, and trade dominate the field. International relations shape global stability, alliances, and responses to challenges like climate change and migration.", organizations, and non-state actors. Theories like realism, liberalism, and constructivism explain cooperation and conflict. Diplomacy, security, and trade dominate the field. International relations shape global stability, alliances, and responses to challenges like climate change and migration.,AI,High,signalsExpository tone, structured logic, academic framing,explanationThe generalized and formal  reflects AI .,,,,,,,,,,,,,,,,
2901837,"Taxation funds public services and redistributes resources. Systems include progressive, regressive, and proportional taxes. Effective taxation balances efficiency, equity, and compliance. Poor tax policies risk evasion, inequality, and deficits. Sound tax design strengthens governance and development.", regressive, and proportional taxes. Effective taxation balances efficiency, equity, and compliance. Poor tax policies risk evasion, inequality, and deficits. Sound tax design strengthens governance and development.,AI,High,signalsNeutral phrasing, structured reasoning, economic framing,explanationThe simplified, principle-based  suggests AI authorship.,,,,,,,,,,,,,,,,,
7481920,"Philosophy examines fundamental questions about knowledge, reality, and ethics. Branches include metaphysics, epistemology, logic, and aesthetics. Philosophical inquiry sharpens critical thinking and guides moral reflection. Philosophy enriches education, policy, and culture by questioning assumptions and exploring meaning.", reality, and ethics. Branches include metaphysics, epistemology, logic, and aesthetics. Philosophical inquiry sharpens critical thinking and guides moral reflection. Philosophy enriches education, policy, and culture by questioning assumptions and exploring meaning.,AI,High,signalsExpository tone, neutral style, structured flow,explanationThe broad and academic framing is typical of AI writing.,,,,,,,,,,,,,,,,,
9102837,"International trade connects economies through exchange of goods, services, and capital. It enhances efficiency, access, and growth by leveraging comparative advantage. Institutions like the World Trade Organization regulate trade rules and resolve disputes. While trade fosters prosperity, it can also create inequality and dependence. Balanced policies ensure fair and sustainable trade outcomes.", services, and capital. It enhances efficiency, access, and growth by leveraging comparative advantage. Institutions like the World Trade Organization regulate trade rules and resolve disputes. While trade fosters prosperity, it can also create inequality and dependence. Balanced policies ensure fair and sustainable trade outcomes.,AI,High,signalsNeutral tone, structured phrasing, economic framing,explanationThe generalized, factual style indicates AI authorship.,,,,,,,,,,,,,,,,,,
